key,es,en
"APATE_TUTORIAL_ALLEGORY","Las confrontaciones de este mundo son alegóricas.
Las palabras no causan daño físico.
Para avanzar, el Caminante debe reconocer qué está ocurriendo y decidir cómo
actuar.","The confrontations in this world are allegorical.
Words do not deal physical damage.
To move forward, the Wayfarer must recognize what is happening and decide how
to act."
"APATE_MARKET_INTRO_001","El Mercado del Umbral tenía dos caminos y al menos tres historias diferentes
sobre cada uno.","Threshold Market had two roads and at least three different stories about each
one."
"APATE_MARKET_INTRO_002","Un letrero señalaba la ruta oriental.
Sobre la madera alguien había pintado una sola palabra:

CERRADO.","A sign pointed toward the eastern road.
Someone had painted a single word across the wood:

CLOSED."
"APATE_MARKET_INTRO_003","La pintura negra todavía estaba fresca.","The black paint was still fresh."
"APATE_SIGN_001","Debajo de la pintura negra todavía puede leerse la inscripción original:

RUTA ORIENTAL ABIERTA.
PASO LENTO POR DESPRENDIMIENTOS.","Beneath the black paint, the original inscription can still be read:

EASTERN ROAD OPEN.
SLOW PASSAGE DUE TO FALLEN ROCK."
"APATE_SIGN_002","La ruta no está cerrada.
Alguien ha convertido “difícil” en “imposible”.","The road is not closed.
Someone has turned “difficult” into “impossible”."
"NERIA_APATE_001","¿Vienes buscando el paso hacia la puerta norte?","Are you looking for the passage to the northern gate?"
"NERIA_APATE_002","La ruta oriental sigue abierta.
Es lenta, empinada y poco cómoda, pero sigue abierta.","The eastern road is still open.
It is slow, steep, and uncomfortable, but it is still open."
"NERIA_APATE_003","Cada mañana alguien pinta “cerrado” sobre el letrero.
Cada tarde volvemos a limpiarlo.","Every morning, someone paints “closed” across the sign.
Every afternoon, we clean it again.

PLAYER RESPONSE OPTIONS:"
"NERIA_QUESTION_001","¿Quién gana haciendo creer que está cerrada?","Who benefits from making people believe it is closed?"
"NERIA_QUESTION_002","¿Existe otro camino?","Is there another way?"
"NERIA_QUESTION_003","No tengo tiempo para una ruta lenta.","I do not have time for a slow road."
"NERIA_APATE_004","Apatē vende acceso a un túnel bajo la muralla.","Apatē sells access to a tunnel beneath the wall."
"NERIA_APATE_005","El túnel llega al otro lado.
Esa parte de su promesa es verdadera.","The tunnel reaches the other side.
That part of her promise is true."
"NERIA_APATE_006","Pero pregunta por el precio antes de entrar.
Dentro del túnel, regresar cuesta más que continuar.","But ask about the price before entering.
Inside the tunnel, turning back costs more than continuing."
"NERIA_APATE_007","Existe el túnel de Apatē.","There is Apatē’s tunnel."
"NERIA_APATE_008","No todo atajo es malo por ser corto.
El problema comienza cuando alguien esconde su costo.","Not every shortcut is wrong because it is short.
The problem begins when someone hides its cost."
"NERIA_APATE_009","Entonces eres exactamente el viajero que Apatē está esperando.","Then you are exactly the traveler Apatē is waiting for."
